Word|Kimchi Rank|TOPIK POS|TOPIK Definition|TOPIK Level|Yonsei Book
삼십||수|三十|A|1-1.csv
적3|154|의||B|
필요하다|212|형|必要-|A|2-1.csv
꽃1|590|명||A|1-1.csv
어제1|156|부||A|1-1.csv
생기다|555|동||A|2-1.csv
사십||수|四十|A|1-1.csv
원래1|158|명|元來|B|
사용하다3|160|동|使用-|A|2-1.csv
돈을|||||1-1.csv
아까|159|부||B|2-1.csv
남편1|507|명|男便|A|
영어2|472|명|英語|A|1-1.csv
터1|161|명||C|
밖|196|명||A|1-1.csv
병원2|309|명|病院|A|1-1.csv
자신1|162|명|自身|B|3-1.csv
작다1|819|형||A|1-1.csv
유차자|||||1-1.csv
혼자1|165|명||A|
타다2||동|버스에 ~|A|
보통|330|명|普通|A|1-1.csv
최근|167|명|最近|B|
대학1|752|명|大學|A|
올해|292|명||A|1-1.csv
탄성|169||||
가운데|23927|명||A|
프랑스|823|고|France|A|1-1.csv
방법|170|명|方法|B|2-1.csv
밤1|1254|명|어두운 때|A|2-1.csv
출구1|4098|명|出口|B|1-1.csv
내용2|171|명|內容|B|3-1.csv
높다|179|형||A|2-1.csv
칠판|97985|명|漆板|A|1-1.csv
요즘|172|명||A|1-1.csv
다니다|612|동||A|2-1.csv
언제1|207|부||A|1-1.csv
쪽2|173|명|면|B|1-1.csv
얼마나|26779|부||A|1-1.csv
여름1|640|명||A|1-1.csv
세계2|174|명|世界|B|2-1.csv
열다2|345|동|문을 ~|A|1-1.csv
가을1|1082|명||A|1-1.csv
아무1|175|관||A|
묻다3||동|길을 ~|A|
음식|251|명|飮食|A|1-1.csv
웃다|176|동||A|
거기1|2646|대||A|1-1.csv
겨울|1209|명||A|1-1.csv
당신2|178|대|當身|B|
아들|8101|명||A|
그리다2|2329|동|그림을 ~|A|1-1.csv
상태1|180|명|狀態|C|
분8||의|10시 20~|A|
불고기|41537|명||A|1-1.csv
말씀|182|명||A|
곧1|359|부||A|
인형1|1100|명|人形|B|1-1.csv
역시1|183|부|亦是|B|
서로1|1089|부||A|
할아버지|529|명||A|1-1.csv
지역3|184|명|地域|B|1-1.csv
이거1|52567|대||A|1-1.csv
태권도|10113|명|跆拳道|A|1-1.csv
이후2|186|명|以後|B|
방7|375|명|房|A|1-1.csv
늦다|432|형||A|1-1.csv
밥1|187|명|~을 먹다|A|
떠나다|362|동||A|1-1.csv
민박하다|53344||||1-1.csv
혹시1|188|부|或是|C|3-1.csv
그래1||감||A|2-1.csv
은행2|1243|명|銀行|A|1-1.csv
느끼다2|189|동|추위를 ~|B|
아름답다|525|형||A|1-1.csv
한국말|4215|명|韓國-|A|1-1.csv
직접|190|부|直接|B|2-1.csv
입|368|명||A|2-1.csv
신다|2010|동||A|1-1.csv
해보다|191||||
영화1|263|명|映畵|A|1-1.csv
브라질|6047||||1-1.csv
중국|199|고|中國|A|1-1.csv
필요|88731|명|必要|A|
데이트하다|5877||||1-1.csv
대표|200|명|代表|B|
하늘1|338|명||A|
주무시다|40852|동||B|1-1.csv
옆|201|명||A|1-1.csv
정말1|2035|부|正-|A|1-1.csv
미터2|5863|의|meter|A|1-1.csv
하루1|202|명||B|2-1.csv
네3||감||A|
지도3|1763|명|地圖|A|1-1.csv
재밌다|204|형|재미있다|C|
그림1|1628|명||A|1-1.csv
케이크|1408||||1-1.csv
정부8|206|명|政府|C|
마시다|2086|동||A|1-1.csv
거울1|2268|명||A|1-1.csv
현재2|208|부|現在|B|2-1.csv
치다2||동|얼굴을 ~|A|
테니스장|30954||||1-1.csv
사랑하다|209|동||A|
술1|974|명|~을 먹다|A|
피다1|8175|동|꽃이 ~|B|1-1.csv
결국|210|명|結局|B|3-1.csv
사랑1|455|명||A|
샌드위치|3094|명|sandwich|A|1-1.csv
새롭다|211|형||C|
돌아오다|225|동||A|1-1.csv
개3|1041|명|동물|A|1-1.csv
의원5|213|명|議員|C|
커피|562|명|coffee|A|1-1.csv
천1|5048|명|실로 짠 물건|C|1-1.csv
목소리|214|명||B|2-1.csv
가슴1|7360|명||A|
숙제3|2276|명|宿題|A|1-1.csv
특히|215|부|特-|B|
길다2|2455|형|밤이 ~|A|1-1.csv
학기가|||||1-1.csv
호응|216||||
회사4|227|명|會社|A|1-1.csv
시키다1|245|동||B|1-1.csv
너희|217|대||B|2-1.csv
맛1|223|명||A|1-1.csv
피우다1|2621|동||A|1-1.csv
제품2|218|명|製品|B|
매우1|77580|부||A|
카드|585|명|card|A|1-1.csv
올라가다|219|동||A|1-1.csv
오르다|1621|동||A|2-1.csv
눈이|||||1-1.csv
귀엽다|220|형||B|1-1.csv
꼭3||부|반드시|A|
게스트하우스|||||1-1.csv
순간3|221|명|瞬間|B|
계획1|302|명|計劃|A|1-1.csv
저녁|402|명||A|1-1.csv
가족1|224|명|家族|A|1-1.csv
아내1|627|명||A|
크림빵|||||1-1.csv
싫다1|228|형||A|
세1|3918|관|~ 권|A|
빌리다|3587|동||B|1-1.csv
미안하다|230|형|未安-|A|
차6||명|車|A|
게임하다|4391||||1-1.csv
당시2|231|명|當時|C|
