Word|Kimchi Rank|TOPIK POS|TOPIK Definition|TOPIK Level|Yonsei Book
건물03||명|建物|A|
삼|60859||||1-1
약|329||||1-1
외국02||명|外國|A|
호주|2032|고|濠洲|A|1-1
저거|331||||
밑01||명||A|
싣다|3225||||1-1
주변|332||||2-1
어른01||명||A|
지하|5121|명|地下|A|1-1
들리다|333||||3-1
팔다|821|동||A|2-1
놀이공원|5632||||1-1
붙다|334|동||B|
일하다|1119|동||A|1-1
창문|1469|명|窓門|A|1-1
다리|335||||
조금01||명||A|
전주|3890|고|全州|C|1-1
행복하다|336|형|幸福-|B|2-1
팀01||명|team|A|
그릇|1338||||1-1
작품|337||||3-1
부모01||명|父母|A|
짧다|478|형||A|1-1
하늘|338||||
그날|1690|명||A|
형제|1443||||1-1
뿐|339||||
자주01||부||A|
와|10623||||1-1
오후|340||||1-1
담배|1292|명||A|
농구장|24478||||1-1
똑같다|342|형||A|
태어나다|567|동||A|
이메일|5096||||1-1
이상하다|343|형|異常-|B|
벌써|4041|부||A|2-1
시디|24901||||1-1
막다|344||||
환자03||명|患者|A|
육|8226||||1-1
올리다|346||||2-1
가르치다01||동||A|
세수하다|15382||||1-1
이용하다|347||||3-1
대화06||명|對話|A|
내리다|1006||||1-1
입장|348||||
형01||명|兄|A|
배우|799||||1-1
놓다|350||||2-1
걸다02||동|옷을 ~|A|
달력|5093|명|-曆|A|1-1
도와주다|351|동||A|2-1
멀다02||형|갈 길이 ~|A|
길을|||||1-1
전하다|352|동|傳-|B|2-1
버스02||명|bus|A|
등산하다|26888||||1-1
그러다|353|동||C|
사진07||명|寫眞|A|
안녕히|1984|부|安寧-|A|1-1
드리다|354||||1-1
제일04||명|第一|A|
지하도|34042|명|地下道|B|1-1
냄새|355|명||B|2-1
아마01||부||A|
여기요|||||1-1
땅|356||||
다리01||명|신체의 일부|A|
한복||명|韓服|A|1-1
여자|357||||1-1
아무01||관||A|
값|1342|명||A|1-1
곧|359||||
해01||명||A|
배|868||||1-1
기회|361||||3-1
잃다|1154|동||A|
호텔|644|명|hotel|A|1-1
인생|363||||
비슷하다02||형||A|
상품권|6245||||1-1
오히려|364|부||C|
달러|4126|의|dollar|A|
죄송합니다|||||1-1
수사|365||||
여름01||명||A|
근처|580|명|近處|A|1-1
기사|367||||2-1
싫다01||형||A|
코미디|6129|명|comedy|C|1-1
정보|369||||3-1
그러니까|8084|부||A|
김치|948||||1-1
묻다|370||||1-1
언제나|11275|부||A|
숙제|2276||||1-1
알아보다|371|동||C|2-1
자동차|784|명|自動車|A|
일곱||수||A|1-1
대박|372||||
개월|470|의|個月|A|
얇다|1177|형||B|1-1
듯|374||||
어린이01||명||A|
맛없다|4775|형||A|1-1
뽑다|376|동||B|
닦다01||동||A|
다섯|651|수||A|1-1
카메라|377|명|camera|A|
눈물01||명||A|
국가|516||||1-1
셋|380|수||A|
아니01||부||A|
좁다|1367||||1-1
대상|381||||
주인01||명|主人|A|
점심|1156|명|點心|A|1-1
초|382||||2-1
드리다01||보|도와 ~|A|
치다|956||||1-1
자꾸|383||||2-1
반07||명|半|A|
학생증|21481|명|學生證|B|1-1
시장|384||||1-1
귀01||명||A|
필통|12618|명|筆筒|B|1-1
엄청나다|385|형||C|
미터02||의|meter|A|
편의점|1354|명|便宜店|C|1-1
월|386||||1-1
어떠하다|50009|형||A|
어떻게|||||1-1
북한|387|고|北韓|B|
배01||명|신체의 일부|A|
두껍다|1746|형||B|1-1
알리다|388|동||B|3-1
아파트|534|명|apartment|A|
천천히|504|부||A|1-1
아무것|389|명||B|
가끔|25172|부||A|1-1
고속버스|14958|명|高速bus|B|1-1
운동|390||||1-1
술06||의|밥 한 ~|A|
저기|||||1-1
직원|391||||
고맙다01||형||A|
약속|738|명|約束|A|1-1
올라오다|392|동||B|
그곳|842|대||A|
남동생|6068|명|男-|A|1-1
풀다|393|동||B|3-1
보다02||부|한층 더|A|
멀다|1396||||1-1
발생하다|394|동|發生-|B|
바쁘다|544|형||A|1-1
송이|9634||||1-1
서울|395|고||A|1-1
나쁘다01||형||A|
제|16566||||1-1
당연히|396||||3-1
잔03||명|盞|A|
배가|40084||||1-1
여성|397||||
언제01||부||A|
택시|1235|명|taxi|A|1-1
층|398||||1-1
내려오다|10682|동||A|
텔레비전|2807|명|television|A|1-1
이해하다|399||||
손님|468|명||A|
쉬다|694||||1-1
방식|400||||3-1
뉴스|510|명|news|A|1-1
고향에|||||1-1
관계|401||||
수업04||명|授業|A|
여동생|3300|명|女同生|A|1-1
멋있다|403|형||B|2-1
층02||명|層|A|
짬뽕|4818||||1-1
챙기다|404|동||B|3-1
장22||의|張. 종이 한 ~|A|
날마다|||||1-1
꺼내다|405|동||B|2-1
식사03||명|食事|A|
그럼|1139||||1-1
예정|406||||3-1
안다01||동||A|
가십시오|||||1-1
알려지다|407|동||B|3-1
잊다01||동||A|
극장|3256|명|劇場|A|1-1
결과|408||||2-1
반11||명|班|A|
영화표|||||1-1
듯하다|409|보||C|
씻다|880|동||A|2-1
거기|2646||||1-1
본인|410|명|本人|C|
편지02||명|便紙|A|
십만|||||1-1
이어지다|411|동||C|
센티미터|7652|의|centimeter|A|
오세요|||||1-1
멤버|412||||
팔01||명|신체의 일부|A|
약속을|||||1-1
여행|414||||1-1
설명|538|명|說明|A|
닫다|907||||1-1
완전히|415|부|完全-|B|
세13||의|歲|A|
양말|4370||||1-1
전체|416||||
티브이|27322|명|TV|A|
끊다|711|동||B|1-1
스스로|417|부||B|
봄01||명||A|
백|1206||||1-1
놀다|418||||1-1
낮다|1067|형||A|2-1
여보세요||감||A|1-1
도착하다|419||||1-1
어깨01||명||A|
며칠|2975|명||A|1-1
검찰|420||||
부부03||명|夫婦|A|
전화하다|1040||||1-1
인사|421||||
오래02||부||A|
잡지|34893|명|雜誌|A|1-1
여전히|423|부|如前-|C|
여행02||명|旅行|A|
초밥|4835|명|醋-|B|1-1
당장|424||||
공01||명|축구~|A|
코엑스|||||1-1
식|425||||
오월01||명|五月|A|
늦게|||||1-1
인간|426||||
쉬다03||동|편안히 ~|A|
구두|||||1-1
편하다|427|형|便-|B|
과10||명|課|A|
종업원|6080|명|從業員|B|1-1
요|428||||
오빠|58664|명||A|1-1
계시다|474|동||A|1-1
컬러|429||||
즐겁다|499|형||A|2-1
민박|15298||||1-1
관련|430|명|關聯|B|
사월02||명|四月|A|
우체국|8278|명|郵遞局|A|1-1
방금|431||||2-1
싸우다||동||A|2-1
고르다|2765||||1-1
고|433||||
나중01||명||A|
크리스마스|1282|명|Christmas|A|1-1
제발|434||||
작년|957|명|昨年|A|1-1
요가|10719||||1-1
형님|435|명|兄-|B|
쓰레기|11855|명||A|2-1
문구점|12557||||1-1
촬영|436|명|撮影|B|
고기01||명||A|
모레|2030|명||B|1-1
환자|437||||
가져오다|463|동||A|3-1
펜션|6443||||1-1
왜냐하면|439|부||A|2-1
남녀|2675|명|男女|A|
김밥|2225|명||A|1-1
내다|440||||2-1
구월02||명|九月|A|
따뜻하다|577|형||A|1-1
잊다|441||||2-1
맑다01||형||A|
스키|5661|명|ski|A|1-1
밑|443||||
유월01||명|六月|A|
예매하다|13882||||1-1
방송|444||||
허리01||명||A|
-쯤|||||1-1
신음|445||||
새03||명|날짐승|A|
지하철|1574|명|地下鐵|A|1-1
녀석|446|의||B|
영어02||명|英語|A|
꽃다발|7532||||1-1
회장|447||||3-1
대답하다|493|동|對答-|A|2-1
전화번호|3111|명|電話番號|A|1-1
조|448||||
벗다|986|동||A|2-1
이게|||||1-1
점점|449||||2-1
돕다|854|동||A|1-1
켤레|13530||||1-1
바닥|451||||
사장15||명|社長|A|
하나(한)|||||1-1
거리|452||||2-1
삼월||명|三月|A|
잠깐만요|||||1-1
넘어가다|453||||
키01||명|신장|A|
쓰다|898||||1-1
전국|454||||3-1
결혼하다|870|동|結婚-|A|
전화가|||||1-1
