Index|Korean|English
2급 문법 6과 9항 15단어|메다|to carry
2급 문법 6과 9항 16단어|차다|to wear (a watch)
2급 문법 6과 9항 1단어|가전제품|electric home appliance
2급 문법 6과 9항 2단어|귀걸이|earring
2급 문법 6과 9항 3단어|목걸이|necklace
2급 문법 6과 9항 4단어|배낭|backpack
2급 문법 6과 9항 5단어|남성복|men's clothing
2급 문법 6과 9항 6단어|반지|ring
2급 문법 6과 9항 7단어|수영복|swimsuit
2급 문법 6과 9항 8단어|스포츠용품|sporting goods
2급 문법 6과 9항 9단어|여성복|women's clothing
2급 문법 7과 2항 1단어|특별히|especially
2급 문법 7과 2항 2단어|반바지|shorts
2급 문법 7과 2항 3단어|유행이다|to be in fashion
2급 문법 7과 2항 4단어|흰색|white
2급 문법 7과 2항 5단어|갈아입다|to change clothes
2급 문법 7과 3항 10단어|조끼|vest
2급 문법 7과 3항 11단어|하늘색|sky-blue
2급 문법 7과 3항 12단어|떠들다|to chatter
2급 문법 7과 3항 13단어|뛰다|to run or jump
2급 문법 7과 3항 14단어|만지다|to touch
2급 문법 7과 3항 15단어|목이 마르다|to be thirsty
2급 문법 7과 3항 1단어|보라색|purple
2급 문법 7과 3항 2단어|색깔|color
2급 문법 7과 3항 3단어|운동복|sportswear
2급 문법 7과 3항 4단어|점퍼|jacket
2급 문법 7과 3항 5단어|청바지|blue jeans
2급 문법 7과 3항 6단어|회색|gray
2급 문법 7과 3항 7단어|분홍색|pink
2급 문법 7과 3항 8단어|양복|suit
2급 문법 7과 3항 9단어|원피스|one-piece dress
2급 문법 7과 8항 1단어|빨갛다|to be red
2급 문법 7과 8항 2단어|멋있다|to be cool or gorgeous
2급 문법 7과 8항 3단어|사이즈|size
2급 문법 7과 8항 4단어|주머니|pocket
2급 문법 7과 8항 5단어|월급|salary or paycheck
2급 문법 7과 8항 6단어|첫|first
2급 문법 7과 9항 10단어|그렇다|to be like that
2급 문법 7과 9항 11단어|까맣다|to be black
2급 문법 7과 9항 12단어|노랗다|to be yellow
2급 문법 7과 9항 13단어|어떻다|how (it) is
2급 문법 7과 9항 14단어|빨갛다|to be red
2급 문법 7과 9항 15단어|이렇다|to be like this
2급 문법 7과 9항 16단어|저렇다|to be like that
2급 문법 7과 9항 17단어|파랗다|to be blue
2급 문법 7과 9항 18단어|하얗다|to be white
2급 문법 7과 9항 1단어|디자인|design
